district;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer: innen;Anteil der Ausländer: innen in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Allein-erziehende;Anteil der Haushalte von Allein-erziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Fortzüge;Wanderungs-saldo;Sozialver-sicherungs-pflichtig Beschäftigte (Dez 2022);Beschäftigten-quote in % (Dez 2022);Arbeitslose (Dez 2022);Arbeitslosen-anteil in % (Dez 2022);Jüngere Arbeitslose (Dez 2022);Arbeitslosen-anteil Jüngerer in % (Dez 2022);Ältere Arbeitslose (Dez 2022);Arbeitslosen-anteil Älterer in % (Dez 2022);Leistungs-empfänger: innen nach SGB II (Dez 2022);Anteil der Leistungs-empfänger: innen nach SGB II in % (Dez 2022);Unter 15-Jährige in Mindest-sicherung (Dez 2022);Anteil der unter 15-Jährigen in Mindest-sicherung in % (Dez 2022);Bedarfs-gemein-schaften nach SGB II (Dez 2022);Empfänger:innen von Grund-sicherung im Alter der 65-Jährigen und Älteren;in % der 65-Jährigen und Älteren;Wohn-gebäude (2022);Wohnungen (2022);Bezugsfertige Wohnungen (2022);Wohnungen in Ein- und Zweifamilien-häusern (2022);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2022);Wohnungs-größe in m² (2022);Wohnfläche je Einwohner:in in m² (2022);Sozial-wohnungen (Jan 2023);Sozial-wohnungs-anteil in % (Jan 2023);Sozial-wohnungen mit Bindungs-auslauf bis 2028;Sozial-wohnungen mit Bindungs-auslauf bis 2028 in %;Preise für Grundstücke in EUR/m² (Jan 2023);Preise für Ein- bzw Zwei-familien-häuser in EUR/m² (Jan 2023);Preise für Eigentums-wohnungen in EUR/m² (Jan 2023);Kindergärten und Vorschul-klassen (März 2023);Grundschulen (2022/2023);Schüler:innen der Sekundar-stufe I (2022/2023);Anteil der Schüler:innen in Stadtteil-schulen in % (2022/2023);Anteil der Schüler:innen in Gymnasien in % (2022/2023);Nieder-gelassene Ärztinnen/Ärzte (Jan 2023);Allgemein-ärztinnen/-ärzte (Jan 2023);Zahn-ärztinnen/-ärzte (Dez 2022);Apotheken (Dez 2022);Private PKW (Jan 2023);PKW-Dichte (Jan 2023);Elektro-PKW  (Jan 2023)
Billbrook;1 791;602;33,6;94;5,2;1 416;79,1;1 596;87,5;583;98,5;545;2;292;53,6;111;20,4;35;31,5;6,3;285;25;7;845;741;104;636;53,4;221;18,5;27;9,3;24;17,9;1 047;58,5;407;80,6;380;24;25,5;83;284;-    ;72;25,4;65,8;10,4;-    ;-    ;-    ;-    ;456;.    ;.    ;1;-    ;217;82,9;10,1;-    ;-    ;-    ;-    ;258;144;105
Rothenburgsort;9 641;1 773;18,4;1 362;14,1;3 363;34,9;5 982;62;1 461;82,6;5 276;1,8;2 992;56,7;967;18,3;330;34,1;7,2;1 341;95;128;1 797;1 030;767;3 807;56;751;11;51;4,6;125;10,6;2 251;23,3;609;41,1;1 176;269;19,8;535;4 595;-    ;138;3;62,6;29,8;916;19,9;146;15,9;585;.    ;4 451;4;1;513;68,6;27,1;6;5;6;2;2 317;240;178
Veddel;4 288;853;19,9;398;9,3;2 026;47,2;3 254;76,1;779;92,7;2 269;1,9;1 278;56,3;469;20,7;143;30,5;4,4;981;45;14;448;429;19;1 825;57,1;337;10,5;32;5,2;44;11,5;981;22,9;294;42,4;463;99;24,9;210;2 025;-    ;14;0,7;61,3;28,9;530;26,2;315;59,4;431;.    ;.    ;2;1;282;74,5;20,9;4;4;2;1;841;196;40
Wilhelmsburg;52 961;10 902;20,6;7 237;13,7;17 374;32,8;32 923;62,1;8 470;77,9;26 233;2;13 215;50,4;5 882;22,4;1 576;26,8;35,4;1 497;601;557;4 160;3 874;286;20 981;57,2;3 305;9;264;4,1;564;8,8;9 591;18,1;2 879;31,8;4 457;982;13,6;4 736;23 051;126;3 251;14,1;69,8;30,4;4 886;21,2;1 481;30,3;450;4 670;4 792;26;7;3 436;67,5;26,3;60;35;20;9;14 014;265;277
Kleiner Grasbrook und Steinwerder;1 105;62;5,6;57;5,2;364;32,9;512;46;57;90,5;890;1,3;726;81,6;39;4,4;13;x;11,9;93;4;4;321;290;31;577;58,1;.    ;.    ;.;.;.    ;.    ;157;14,2;26;47,3;112;18;31,6;70;735;-    ;2;0,3;50,6;33,6;-    ;-    ;-    ;-    ;.    ;.    ;.    ;-    ;-    ;20;x;x;-    ;-    ;-    ;-    ;144;130;100
Waltershof und Finkenwerder;11 690;1 988;17;2 335;20;2 421;20,7;4 080;34,9;1 064;53,7;6 313;1,9;3 272;51,8;1 156;18,3;312;27;29,4;397;102;140;928;752;176;4 885;63,9;455;5,9;29;2,6;92;4,9;1 174;10;343;20,1;608;119;5,1;2 323;5 810;3;1 940;33,4;75,8;37,7;575;9,9;259;45;.    ;.    ;.    ;5;2;574;52,6;42,5;5;2;8;2;4 360;373;136
Altona-Altstadt;29 661;4 532;15,3;3 902;13,2;6 287;21,2;12 048;40,6;2 497;55,2;18 261;1,6;11 547;63,2;2 840;15,6;935;32,9;2,7;10 913;282;248;3 653;3 144;509;13 080;59,7;1 571;7,2;100;3,6;353;9;3 562;12;849;22;2 125;643;16,5;1 637;16 704;146;190;1,1;63,5;35,8;2 003;12;508;25,4;2 024;.    ;7 329;28;3;1 359;50,8;44,2;174;35;43;9;6 709;226;259
Sternschanze;7 889;1 088;13,8;821;10,4;1 633;20,7;2 971;37,6;545;49,9;5 212;1,5;3 543;68;711;13,6;243;34,2;0,5;14 384;76;112;1 263;1 182;81;3 623;59;418;6,8;26;3,4;86;9,8;823;10,4;199;21,4;496;140;17,1;505;4 379;17;81;1,8;68,3;37,9;401;9,2;76;19;2 022;.    ;10 305;4;1;315;47,3;46,3;41;7;4;3;1 529;194;56
Altona-Nord;26 592;4 353;16,4;2 665;10;5 358;20,1;10 289;38,7;2 164;49,8;15 436;1,7;9 311;60,3;2 694;17,5;725;26,9;2,2;11 990;295;132;4 055;3 534;521;12 268;61;1 208;6;66;2,4;257;8,4;2 448;9,2;577;15,1;1 475;339;12,7;1 243;14 292;63;131;0,9;62,8;33,8;1 673;11,7;207;12,4;1 707;.    ;7 329;15;2;1 166;49,7;45,3;39;6;7;4;5 711;215;98
Ottensen;35 365;5 377;15,2;5 342;15,1;4 811;13,6;10 011;28,3;2 031;37,9;21 745;1,6;13 428;61,8;3 522;16,2;1 005;28,5;2,8;12 652;343;272;3 941;3 543;398;15 725;61,8;1 200;4,7;54;1,7;316;6,4;2 012;5,7;416;9,1;1 321;403;7,5;2 424;19 829;75;426;2,1;70,6;39,6;637;3,2;95;14,9;2 126;.    ;7 346;35;2;1 661;40,8;53,7;188;26;49;9;9 402;266;957
